2019-07-21 15:15:12 configure libudev1:armhf 241-5 <none>
2019-07-21 15:15:12 status unpacked libudev1:armhf 241-5
2019-07-21 15:15:12 status half-configured libudev1:armhf 241-5
2019-07-21 15:15:12 status installed libudev1:armhf 241-5
2019-07-21 15:15:12 configure libsepol1:armhf 2.8-1 <none>
2019-07-21 15:15:12 status unpacked libsepol1:armhf 2.8-1
2019-07-21 15:15:12 status half-configured libsepol1:armhf 2.8-1
2019-07-21 15:15:12 status installed libsepol1:armhf 2.8-1
2019-07-21 15:15:12 configure libattr1:armhf 1:2.4.48-4 <none>
2019-07-21 15:15:12 status unpacked libattr1:armhf 1:2.4.48-4
2019-07-21 15:15:12 status half-configured libattr1:armhf 1:2.4.48-4
2019-07-21 15:15:12 status installed libattr1:armhf 1:2.4.48-4
2019-07-21 15:15:12 configure libtasn1-6:armhf 4.13-3 <none>
2019-07-21 15:15:12 status unpacked libtasn1-6:armhf 4.13-3
2019-07-21 15:15:12 status half-configured libtasn1-6:armhf 4.13-3
2019-07-21 15:15:12 status installed libtasn1-6:armhf 4.13-3
2019-07-21 15:15:12 configure debianutils:armhf 4.8.6.1 <none>
2019-07-21 15:15:12 status unpacked debianutils:armhf 4.8.6.1
2019-07-21 15:15:12 status half-configured debianutils:armhf 4.8.6.1
2019-07-21 15:15:12 status installed debianutils:armhf 4.8.6.1
2019-07-21 15:15:12 configure mawk:armhf 1.3.3-17+b3 <none>
2019-07-21 15:15:12 status unpacked mawk:armhf 1.3.3-17+b3
2019-07-21 15:15:12 status half-configured mawk:armhf 1.3.3-17+b3
2019-07-21 15:15:12 status installed mawk:armhf 1.3.3-17+b3
2019-07-21 15:15:12 configure libdebconfclient0:armhf 0.249 <none>
2019-07-21 15:15:12 status unpacked libdebconfclient0:armhf 0.249
2019-07-21 15:15:12 status half-configured libdebconfclient0:armhf 0.249
2019-07-21 15:15:12 status installed libdebconfclient0:armhf 0.249
2019-07-21 15:15:12 configure base-files:armhf 10.3 <none>
2019-07-21 15:15:12 status unpacked base-files:armhf 10.3
2019-07-21 15:15:12 status half-configured base-files:armhf 10.3
2019-07-21 15:15:12 status installed base-files:armhf 10.3
2019-07-21 15:15:12 configure libbz2-1.0:armhf 1.0.6-9.1 <none>
2019-07-21 15:15:12 status unpacked libbz2-1.0:armhf 1.0.6-9.1
2019-07-21 15:15:12 status half-configured libbz2-1.0:armhf 1.0.6-9.1
2019-07-21 15:15:12 status installed libbz2-1.0:armhf 1.0.6-9.1
2019-07-21 15:15:12 configure base-passwd:armhf 3.5.46 <none>
2019-07-21 15:15:12 status unpacked base-passwd:armhf 3.5.46
2019-07-21 15:15:12 status half-configured base-passwd:armhf 3.5.46
2019-07-21 15:15:13 status installed base-passwd:armhf 3.5.46
2019-07-21 15:15:13 configure libdb5.3:armhf 5.3.28+dfsg1-0.5 <none>
2019-07-21 15:15:13 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.5
2019-07-21 15:15:13 status half-configured libdb5.3:armhf 5.3.28+dfsg1-0.5
2019-07-21 15:15:13 status installed libdb5.3:armhf 5.3.28+dfsg1-0.5
2019-07-21 15:15:13 configure libtinfo6:armhf 6.1+20181013-2 <none>
2019-07-21 15:15:13 status unpacked libtinfo6:armhf 6.1+20181013-2
2019-07-21 15:15:13 status half-configured libtinfo6:armhf 6.1+20181013-2
2019-07-21 15:15:13 status installed libtinfo6:armhf 6.1+20181013-2
2019-07-21 15:15:13 configure bash:armhf 5.0-4 <none>
